Release ID,Artist,Title,Year,Genres,Formats
3187498,Глеб Романов,Баркетта / Парижские Бульвары,0,"Pop, Folk, World, & Country",Shellac
3283256,Steve Gibson's Red Caps,Pleasant Dreams / Mary Had A Little Jam,1945,"Jazz, Pop",Shellac
3883669,Eddie Fisher With Hugo Winterhalter Orchestra,I'm Just A Vagabond Lover / Song Of The Dreamer,1955,Pop,Shellac
3390458,Cab Calloway And His Cab Jivers,Give Me Twenty Nickels For A Dollar / The Jungle King,1947,Jazz,Shellac
3705090,Claudio Villa,Me Ne Vado A Spasso,1947,Pop,Shellac
3255080,Мия Побер,Тоска По Родине / Тени Минувшего,1947,"Latin, Pop",Shellac
2606846,Pyotr Ilyich Tchaikovsky - Hallé Orchestra Conducted By Sir Malcolm Sargent,Eugen Onegin,1947,Classical,Shellac
2133017,"Heinrich Schlusnus, Staatskapelle Berlin Dir.: Leo Blech",Rigoletto: Feile Sklaven / Der Barbier Von Sevilla: Ich Bin Das Faktotum,1945,Classical,Shellac
1780534,Giovanni Turchetti E Dea Garbaccio,Sopra Una Nuvola Con Te / Ascensione,1940,"Pop, Stage & Screen",Shellac
3700057,Bessie Smith,Long Old Road / Shipwreck Blues,1932,Blues,Shellac
1086331,"Orkiestra Taneczna Polskiego Radia , Conducted By = Dyrekcja: Jan Cajmer",Tango Agentyńskie / Tak Mi Dobrze Z Tobą,0,Pop,Shellac
4420157,Chick Webb And His Orchestra,My Heart Belong To Daddy / That Was My Heart,0,Jazz,Shellac
3533000,Al Donahue And His Orchestra,It's Love I'm After / To Mary-With Love,1936,"Jazz, Pop",Shellac
3749774,Isidore Soucy,"Quadrille ""Laurier""",1927,"Folk, World, & Country",Shellac
3955565,Fisher Hendley,"Nigger, Will You Work? / Let Your Shack Burn Down",1925,"Folk, World, & Country",Shellac
4348763,"Cliff ""Ukulele Ike"" Edwards","Hang On To Me / Just You, Just Me",1929,"Pop, Stage & Screen",Shellac
2865454,Johnnie Ray,To Ev'ry Girl - To Ev'ry Boy / Going-Going-Gone,1954,"Rock, Pop",Shellac
4323939,Magda Hain Und Rudi Schuricke Mit Symphonie-Orchester Graunke,Immer Und Ewig Trag' Ich Im Herzen / Endlich Allein,1949,Pop,Shellac
4741687,"Big Joe Turner And Pete Johnson Trio, The",It's The Same Old Story / Rebecca,1945,Blues,Shellac
1548052,Frank Sinatra,Among My Souvenirs / September Song,1946,"Pop, Stage & Screen",Shellac
2227389,Paolo Bacilieri,Dillo Chitarra / Sentimental Rhapsody,1955,Pop,Shellac
4747763,Arthur Collins,Fireside Minstrels,0,Pop,Shellac
4822093,Unknown Artist,Echo Vom Gebirge / Da Bua Vom Zillertal,0,"Folk, World, & Country",Shellac
2326727,Концертный Ансамбль п/у Фердинанда Криша,Танго Соловья / Романтическое Танго,0,Latin,Shellac
3791755,Gene Autry,Tears On My Pillow / Too Late,1944,"Folk, World, & Country",Shellac
1831362,Gene Krupa And His Orchestra,Gene Krupa And His Orchestra,1948,Jazz,Shellac
2277733,"Nilla Pizzi, Angelini E Otto Strumenti",Mademoiselle De Paris / Emigrante,1950,Pop,Shellac
2344846,Владимир Трошин,Подмосковные Вечера / Свежий Ветерок,1959,Pop,Shellac
4328013,"Boston Pops Orchestra, Arthur Fiedler",La Paloma (The Dove) / La Golondrina (The Swallow),1939,Classical,Shellac
4900447,Eddie Ware,Jealous Women / Give Love Another Chance,1952,Blues,Shellac
4113138,Charles Hackett,The World Is Waiting For The Sunrise / I Look Into Your Garden,1933,Pop,Shellac
4791711,"Oliver Naylor's Orchestra / Benson Orchestra Of Chicago, The",Sweet Georgia Brown / Riverboat Shuffle,1925,Jazz,Shellac
4502865,Les Paul & Mary Ford / Les Paul,My Baby's Coming Home / Lady Of Spain,1952,Pop,Shellac
2344078,Jerry Colonna,Can't Yo' Heah Me Callin' Caroline / I Hate Music,1944,Jazz,Shellac
2248872,Fred Lowery (2),Indian Love Call / I Love You Truly,1944,Stage & Screen,Shellac
4626651,Marilyn Monroe,Diamonds Are A Girl's Best Friend / Bye Bye Baby,1953,Stage & Screen,Shellac
4992486,No Artist / Unknown Artist,Glockengeläute Der Propsteikirche Zu Bochum / Lobe Den Herrn,0,"Non-Music, Classical",Shellac
1356896,Marek Weber Und Sein Orchester,Le Beau Danube Bleu / L'or Et L'argent,1933,Pop,Shellac
4582548,Bing Crosby,White Christmas / Let's Start The New Year Right,1942,"Pop, Stage & Screen",Shellac
2197457,"Rosalie Allen And Black River Riders, The","Mountain Polka / Believe Me, I'll Be Leaving You",1947,"Blues, Folk, World, & Country",Shellac
3269546,Bing Crosby,"Adeste Fidelis / Silent Night, Holy Night",1947,Pop,Shellac
4855804,Big Bill Broonzy,Mean Old World / Barrel House When It Rains,1937,Blues,Shellac
2229053,L'Ensemble Argentin Canaro,Te Quiero / El Anillo De Oro,0,Latin,Shellac
4125191,"Red Foley And Ernest Tubb With Sunshine Trio, The / Ernest Tubb And Red Foley",Goodnight Irene / Hillbilly Fever #2,1950,"Folk, World, & Country",Shellac
4615147,Σοφία Βέμπο = Σοφία Βέμπο,Η Τριανταφυλλιά = The Rose Bush,0,"Folk, World, & Country",Shellac
3577711,Frances Alda - Enrico Caruso - Marcel Journet,Lombardi - Qual Volutta (Trio From Act 3),1918,Classical,Shellac
4734654,Alexander Girardi,Ackerlied / Fiakerlied,0,Non-Music,Shellac
2133226,"Georg Hann, Lorenz Fehenberger, Carl Hoppe, Münchner Philharmoniker, Robert Heger",Der Barbier Von Bagdad,1950,Classical,Shellac
3670019,"Bamboo Orchestra, The Featuring Wilmoth Houdini","Mama, Call The Fire Brigade / Cousin, Cousin, Scratch Here So For Me",1940,"Folk, World, & Country",Shellac
3394517,Prince's Orchestra,Beautiful Ohio / My Belgian Rose,1919,"Pop, Classical",Shellac
830478,Tanzorchester Hans Georg Schütz,Hoch Drob'n Auf Dem Berg / Dulli - Öh !,0,"Jazz, Pop, Classical, Stage & Screen",Shellac
4856503,Big Bill Broonzy,Midnight Steppers / Medicine Man Blues,1940,Blues,Shellac
2728406,Sydney MacEwan,The Banks Of Allan Water / Herding Song,0,"Folk, World, & Country",Shellac
4955955,André Kostelanetz And His Orchestra,Estrellita / A Perfect Day,1940,Classical,Shellac
4456343,"Phil Moore Four, The",My Baby Said Yes / And Her Tears Flowed Like Wine,0,"Jazz, Pop",Shellac
4119888,Pete Johnson,Buss Robinson Blues / B. And O. Blues,1939,"Jazz, Blues",Shellac
4435784,Paul Whiteman And His Orchestra,Precious / Moonlight On The Ganges,1926,Pop,Shellac
4416417,Gracie Fields,I'm A Dreamer (Aren't We All) / If I Had A Talking Picture Of You,1930,"Pop, Stage & Screen",Shellac
3578946,Zehn Whiskys Und Ein Soda,"Wir, Wir, Wir, Haben Ein Klavier / Dann Ist Er Furchtbar Müde",1954,Pop,Shellac
4770643,André Kostelanetz And His Orchestra,Prelude In C-Sharp Minor / Liebestraum,0,Classical,Shellac
4933692,Jimmy Shand And His Band,The Glasgow Highlanders / Rory O'More,0,"Jazz, Folk, World, & Country",Shellac
3572543,Amelita Galli-Curci,Nozze Di Figaro-Non So Piu Cosa Son (Act 1),0,Classical,Shellac
