Release ID,Artist,Title,Year,Genres,Formats
4912154,Stone Temple Pilots,Alive In The Windy City,2012,Rock,Blu-ray
4556913,Europe (2),"[Live!] At Shepherd's Bush, London",2011,Rock,"Blu-ray, CD"
4786877,"Jon Lord, Royal Liverpool Philharmonic Orchestra",Concerto For Group And Orchestra,2013,"Rock, Classical","Blu-ray, CD"
3747280,Eppu Normaali,Mutala,2012,Rock,Blu-ray
3314156,Namie Amuro,Live Style 2011,2011,"Electronic, Hip Hop, Pop",Blu-ray
1867856,Heart,Alive In Seattle,2008,Rock,Blu-ray
