Release ID,Artist,Title,Year,Genres,Formats
4749962,Die Ärzte,Das Comeback Tour - Live In Friedrichshafen - 27.10.2012,2012,"Rock, Pop","Memory Stick, File"
2683461,Orbital,"19th September 2009, Manchester Academy, England",2009,Electronic,Memory Stick
3287041,Chicane,Thousand Mile Stare (The Collectors Edition),2011,Electronic,"CD, CD, Memory Stick, Box Set"
4408552,Various,Street Bass Anthems Volume 5,2012,"Electronic, Hip Hop",Memory Stick
4253368,FM3,Buddha Machine,2005,Electronic,"Memory Stick, All Media"
3516605,Various,Future Jungle USB Wristband,2011,Electronic,Memory Stick
