Release ID,Artist,Title,Year,Genres,Formats
343872,Aquarian Dream (2),Chance To Dance,1979,"1, 1, Electronic",LP
356646,Inner Sanctum,How Soon Is Now  [Remixes by MEKKANIKA],2004,"1, 1, Electronic",LP
279436,African Suite,African Suite,1980,Electronic,LP
390779,Ideal (3),Bi Nuu,1982,"1, 1, Rock",LP
338729,Various Artists,Alvin Lives in Leeds,1990,"1, 1, Electronic",LP
569298,Tangerine Dream,Tyger,1987,"1, 1, Electronic",LP
354968,Various,Rump Comp Volume One,2004,"1, 1, Electronic",LP
276037,Beggar And Co,Monument,1981,Electronic,LP
